race,id,ppl,per capita,per million
A,93,16990909.0,5.473515278081944e-06,5.473515278081943
B,1298,39449815.0,3.290256240745362e-05,32.90256240745362
H,902,59951158.0,1.5045580937736014e-05,15.045580937736014
N,78,2096110.0,3.721178754931754e-05,37.21178754931754
W,2476,197305511.0,1.2549066609700526e-05,12.549066609700526
